Name,City,State,Pub. Rating,County,GOP %,Dem %
Palo Alto High School - Verde,Palo Alto,California,-5.905410313241742,Santa Clara County,0.6980843504099152,0.2773044640187762
Castilleja School,Palo Alto,California,-12.21586703461557,Santa Clara County,0.6980843504099152,0.2773044640187762
Palos Verdes High School,Palos Verdes Estates,California,-7.622317378738715,Los Angeles County,0.6887373247897642,0.2881539325227185
St. Philip the Apostle School,Pasadena,California,-3.251263490662405,Los Angeles County,0.6887373247897642,0.2881539325227185
Westridge School,Pasadena,California,-6.422137195190255,Los Angeles County,0.6887373247897642,0.2881539325227185
Mayfield Senior School,Pasadena,California,-8.747418666860145,Los Angeles County,0.6887373247897642,0.2881539325227185
Polytechnic School,Pasadena,California,-8.472637619731774,Los Angeles County,0.6887373247897642,0.2881539325227185
EF Academy,Pasadena,California,-7.443837336059561,Los Angeles County,0.6887373247897642,0.2881539325227185
Casa Grande High School,Petaluma,California,-10.01807741036173,Sonoma County,0.7084637357885033,0.2598527353218996
El Rancho High School,Pico Rivera,California,12.811567039203284,Los Angeles County,0.6887373247897642,0.2881539325227185
Piedmont High School,Piedmont,California,-9.846581198076954,Alameda County,0.7845665901365722,0.18684207698617086
Pinole Valley High School,Pinole,California,-15.59695916309122,Contra Costa County,0.6571427758023327,0.32041211990081336
Amador Valley High School,Pleasanton,California,-8.026943265142602,Alameda County,0.7845665901365722,0.18684207698617086
Porterville High School,PORTERVILLE,California,-10.424330514074594,Tulare County,0.4007990992970123,0.5792234182776801
Poway High School,Poway,California,-5.4028482516881065,San Diego County,0.5153599869001655,0.4643611245173745
Rancho Cucamonga High School,Rancho Cucamonga,California,-10.819190267703979,San Bernardino County,0.5157177463644366,0.4616732995794558
Los Osos High School,Rancho Cucamonga,California,-11.4064722283295,San Bernardino County,0.5157177463644366,0.4616732995794558
Santa Margarita Catholic H.S.,Rancho Santa Margarita,California,-6.3175645324461565,Orange County,0.42069810165339866,0.5660747091243111
Redondo Union High School,Redondo Beach,California,-8.756069323617762,Los Angeles County,0.6887373247897642,0.2881539325227185
Sequoia High School,Redwood City,California,-7.308556629047899,San Mateo County,0.713059571133164,0.26553485605295213
North Star Academy,Redwood City,California,2.4269322199023193,San Mateo County,0.713059571133164,0.26553485605295213
Burroughs High School,Ridgecrest,California,-4.577663159298639,Kern County,0.3847938328297128,0.5938756572842561
Ripon High School,Ripon,California,-2.5619003363388924,San Joaquin County,0.5348392574221021,0.44617513553985305
J.W. North High School,Riverside,California,-11.783180102728352,Riverside County,0.4879493862351858,0.49214289469087924
La Sierra High School,Riverside,California,-8.366600265340756,Riverside County,0.4879493862351858,0.49214289469087924
Rocklin High School,Rocklin,California,3.7361171593743454,Placer County,0.38888581040965764,0.5894320205818325
Whitney High School,Rocklin,California,-10.267424214475605,Placer County,0.38888581040965764,0.5894320205818325
Oakmont High School,Roseville,California,-11.907044483553982,Placer County,0.38888581040965764,0.5894320205818325
Roseville High School - CA,Roseville,California,-7.400158980804161,Placer County,0.38888581040965764,0.5894320205818325
Branson School,Ross,California,-8.5091127622097,Marin County,0.7397820437926798,0.23514896360010476
Rio Americano High School,Sacramento,California,-10.282255715974761,Sacramento County,0.5696178721430596,0.40631812208508333
Journalism Education Association of Northern California,Sacramento,California,-10.923979738782625,Sacramento County,0.5696178721430596,0.40631812208508333
Alisal High School,Salinas,California,-9.931832879575959,Monterey County,0.6585670258016861,0.31949007921346884
Archie Williams High School,San Anselmo,California,-16.12359761343603,Marin County,0.7397820437926798,0.23514896360010476
San Domenico,San Anselmo,California,-11.892784927565677,Marin County,0.7397820437926798,0.23514896360010476
Cathedral Catholic High School,San Diego,California,-9.806726008204777,San Diego County,0.5153599869001655,0.4643611245173745
La Jolla High School,San Diego,California,-13.749909090608563,San Diego County,0.5153599869001655,0.4643611245173745
University City High School - CA,San Diego,California,-6.415239209698035,San Diego County,0.5153599869001655,0.4643611245173745
Canyon Hills High School,San Diego,California,-11.450726739257332,San Diego County,0.5153599869001655,0.4643611245173745
San Dimas High School,San Dimas,California,3.2015621187164243,Los Angeles County,0.6887373247897642,0.2881539325227185
Urban School of San Francisco,San Francisco,California,-12.22971790353318,San Francisco County,0.8343856982209997,0.13286898446528753
Sacred Heart Cathedral Preparatory,San Francisco,California,-8.718032513651858,San Francisco County,0.8343856982209997,0.13286898446528753
Stuart Hall High School,San Francisco,California,-0.5120763831912405,San Francisco County,0.8343856982209997,0.13286898446528753
Archbishop Riordan High School,San Francisco,California,-2.385852398340404,San Francisco County,0.8343856982209997,0.13286898446528753
Lowell High School,San Francisco,California,-9.25147250926811,San Francisco County,0.8343856982209997,0.13286898446528753
Mission High School,San Francisco,California,-13.757220326472607,San Francisco County,0.8343856982209997,0.13286898446528753
Gabrielino High School,San Gabriel,California,-11.494926417047363,Los Angeles County,0.6887373247897642,0.2881539325227185
The Harker Upper School,San Jose,California,-8.07476428026343,Santa Clara County,0.6980843504099152,0.2773044640187762
Abraham Lincoln High School,San Jose,California,-15.592335857721896,Santa Clara County,0.6980843504099152,0.2773044640187762
Lynbrook High School,San Jose,California,-11.330954970369467,Santa Clara County,0.6980843504099152,0.2773044640187762
University Preparatory Academy,San Jose,California,-10.899457868086,Santa Clara County,0.6980843504099152,0.2773044640187762
Archbishop Mitty High School,San Jose,California,-9.141179018384546,Santa Clara County,0.6980843504099152,0.2773044640187762
Willow Glen High School,San Jose,California,-3.3726843908080104,Santa Clara County,0.6980843504099152,0.2773044640187762
BASIS Independent Silicon Valley,San Jose,California,-9.112379192365434,Santa Clara County,0.6980843504099152,0.2773044640187762
San Juan Hills High School,San Juan Capistrano,California,-15.631332050297782,Orange County,0.42069810165339866,0.5660747091243111
San Leandro High School,San Leandro,California,-15.217581936694147,Alameda County,0.7845665901365722,0.18684207698617086
San Luis Obispo High School,San Luis Obispo,California,-7.161991178929141,San Luis Obispo County,0.4902761124858627,0.48045443336139526
Mission Hills High School,San Marcos,California,-5.990020436324588,San Diego County,0.5153599869001655,0.4643611245173745
San Marcos High School,San Marcos,California,-9.151502608861563,San Diego County,0.5153599869001655,0.4643611245173745
San Marino High School,San Marino,California,-6.238806643368052,Los Angeles County,0.6887373247897642,0.2881539325227185
Terra Linda High School,San Rafael,California,-12.23692159000784,Marin County,0.7397820437926798,0.23514896360010476
San Rafael High School,San Rafael,California,-12.42105738923489,Marin County,0.7397820437926798,0.23514896360010476
Marin Academy,San Rafael,California,-21.23311093551767,Marin County,0.7397820437926798,0.23514896360010476
Dougherty Valley High School,San Ramon,California,4.793342156810638,Contra Costa County,0.6571427758023327,0.32041211990081336
California High School,San Ramon,California,-9.318222378366109,Contra Costa County,0.6571427758023327,0.32041211990081336
Sanger High School,Sanger,California,-9.414616295951737,Fresno County,0.47636537138545526,0.5056645436186503
Middle College High School,Santa Ana,California,-8.522448454497948,Orange County,0.42069810165339866,0.5660747091243111
Mater Dei High School,Santa Ana,California,2.016597794967223,Orange County,0.42069810165339866,0.5660747091243111
Segerstrom High School,Santa Ana,California,-15.397580978842099,Orange County,0.42069810165339866,0.5660747091243111
Laguna Blanca School,Santa Barbara,California,-15.116165004538832,Santa Barbara County,0.5723570278915306,0.40133379513612993
Santa Clara High School,Santa Clara,California,-12.84981116821658,Santa Clara County,0.6980843504099152,0.2773044640187762
Hart High School,Santa Clarita,California,-8.003778177603316,Los Angeles County,0.6887373247897642,0.2881539325227185
Golden Valley High School,Santa Clarita,California,-11.435134791173548,Los Angeles County,0.6887373247897642,0.2881539325227185
Pacific Collegiate School,Santa Cruz,California,-10.365726017123402,Santa Cruz County,0.751666789676975,0.21074126011759786
Pioneer Valley High School,Santa Maria,California,-2.3773234249185924,Santa Barbara County,0.5723570278915306,0.40133379513612993
Ernest Righetti High School,Santa Maria,California,17.84656829757475,Santa Barbara County,0.5723570278915306,0.40133379513612993
Santa Maria High School,Santa Maria,California,-9.434574712195564,Santa Barbara County,0.5723570278915306,0.40133379513612993
Selma High School,Selma,California,-13.343831012380084,Fresno County,0.47636537138545526,0.5056645436186503
Royal High School,Simi Valley,California,1.1086027241532468,Ventura County,0.5155483059419873,0.46254483832076054
Sonoma Valley High School,Sonoma,California,-10.06919394324425,Sonoma County,0.7084637357885033,0.2598527353218996
South El Monte High School,South El Monte,California,-5.091470997960896,Los Angeles County,0.6887373247897642,0.2881539325227185
Stanford Online High School,Stanford,California,-13.200308638367064,Santa Clara County,0.6980843504099152,0.2773044640187762
West Ranch High School,Stevenson Ranch,California,-11.03333585095641,Los Angeles County,0.6887373247897642,0.2881539325227185
Cesar Chavez High School,Stockton,California,-13.435028842544405,San Joaquin County,0.5348392574221021,0.44617513553985305
A.A. Stagg High,Stockton,California,-9.466753856070653,San Joaquin County,0.5348392574221021,0.44617513553985305
Weston Ranch High School,Stockton,California,3.8553976330711865,San Joaquin County,0.5348392574221021,0.44617513553985305
Lincoln High School,Stockton,California,8.346526223525569,San Joaquin County,0.5348392574221021,0.44617513553985305
Franklin High School,Stockton,California,-5.10881590977792,San Joaquin County,0.5348392574221021,0.44617513553985305
Taft Union High School,Taft,California,-4.001644398836164,Kern County,0.3847938328297128,0.5938756572842561
Westlake High School,Thousand Oaks,California,-9.987241861495095,Ventura County,0.5155483059419873,0.46254483832076054
Thousand Oaks High School,Thousand Oaks,California,-8.66433576713843,Ventura County,0.5155483059419873,0.46254483832076054
West High School,Torrance,California,-13.463035814159202,Los Angeles County,0.6887373247897642,0.2881539325227185
Torrance High School,Torrance,California,-0.9909591313469996,Los Angeles County,0.6887373247897642,0.2881539325227185
Merrill F. West High School,Tracy,California,-6.311704103936763,San Joaquin County,0.5348392574221021,0.44617513553985305
Tracy High School,Tracy,California,-10.082988974836116,San Joaquin County,0.5348392574221021,0.44617513553985305
Truckee High School,Truckee,California,-15.689543164346192,Nevada County,0.46205935717988594,0.5085536547433903
John H. Pitman High School,Turlock,California,3.7669616403674717,Stanislaus County,0.4916376549227127,0.4842570672608272
Turlock High School,Turlock,California,-1.1547005383792515,Stanislaus County,0.4916376549227127,0.4842570672608272
Mare Island Technology Academy,Vallejo,California,8.0,Napa County,0.6174687615984165,0.36023134974638127
Walnut High School,Walnut,California,-10.976554559605669,Los Angeles County,0.6887373247897642,0.2881539325227185
West Covina High School,West Covina,California,-7.408432478930465,Los Angeles County,0.6887373247897642,0.2881539325227185
Mt. SAC Early College Academy,West Covina,California,-20.488502873563014,Los Angeles County,0.6887373247897642,0.2881539325227185
South Hills High,West Covina,California,-13.195116941926324,Los Angeles County,0.6887373247897642,0.2881539325227185
Elsinore High School,Wildomar,California,-3.2007811546558447,Riverside County,0.4879493862351858,0.49214289469087924
Lagunitas Community School,Woodacre,California,-8.294074189845825,Marin County,0.7397820437926798,0.23514896360010476
Woodside High School,Woodside,California,-13.650959513974609,San Mateo County,0.713059571133164,0.26553485605295213
Yorba Linda High School,Yorba Linda,California,-8.186903237206645,Orange County,0.42069810165339866,0.5660747091243111
Bismarck High School,Bismarck,North Dakota,-0.909822937597079,Burleigh County,0.32736262711073794,0.6486379326429704
Fargo North High School,Fargo,North Dakota,-14.949877040611797,Cass County,0.24829989799387964,0.7435396123767426
Fargo South High School,Fargo,North Dakota,-12.858562578256846,Cass County,0.24829989799387964,0.7435396123767426
Davies High School,Fargo,North Dakota,-17.925772879665004,Cass County,0.24829989799387964,0.7435396123767426
Horace High School,Horace,North Dakota,2.382435728409058,Cass County,0.24829989799387964,0.7435396123767426
West Fargo High School,West Fargo,North Dakota,-5.809618461367895,Cass County,0.24829989799387964,0.7435396123767426
Williston High School,Williston,North Dakota,4.041451884327381,Williams County,0.4075552470207104,0.5705773458289946
Stevens High School,Rapid City,South Dakota,0.0,Pennington County,0.34014125691664043,0.6349588375545459
Lincoln High School - SD,Sioux Falls,South Dakota,-8.060625547097837,Minnehaha County,0.45279174557565466,0.5267419839352184
Alliance High School,Alliance,Nebraska,-5.794234884325699,Box Butte County,0.3598326359832636,0.6155031931292667
Bellevue West Senior High School,Bellevue,Nebraska,-15.849340680293297,Sarpy County,0.3734395308768854,0.6093461898860442
Bellevue East High School,Bellevue,Nebraska,-3.9597979746446663,Sarpy County,0.3734395308768854,0.6093461898860442
Omaha Westview High School,Bennington,Nebraska,-1.121605991424796,Douglas County,0.6497681742629691,0.3367159478610795
Columbus High School,Columbus,Nebraska,-15.0,Platte County,0.2717777777777778,0.6968888888888889
Gretna High School,Gretna,Nebraska,6.117344584205206,Sarpy County,0.3734395308768854,0.6093461898860442
Lincoln East High School,Lincoln,Nebraska,-8.848587457894057,Lancaster County,0.44583096993760635,0.5316222348269994
Lincoln Southeast High School,Lincoln,Nebraska,-16.172636354863936,Lancaster County,0.44583096993760635,0.5316222348269994
Lincoln North Star High School,Lincoln,Nebraska,-4.257346591481601,Lancaster County,0.44583096993760635,0.5316222348269994
Lincoln Northeast High School,Lincoln,Nebraska,-12.172850352907725,Lancaster County,0.44583096993760635,0.5316222348269994
Lincoln Southwest High School,Lincoln,Nebraska,-9.1074356772576,Lancaster County,0.44583096993760635,0.5316222348269994
Conestoga Jr./Sr. High School,Murray,Nebraska,-11.374313166077325,Cass County,0.24829989799387964,0.7435396123767426
North Platte High School,North Platte,Nebraska,-8.764987164850842,Lincoln County,0.15012247754578328,0.8333138924530503
Millard North High School,Omaha,Nebraska,-8.315218406202998,Douglas County,0.6497681742629691,0.3367159478610795
Omaha Central High School,Omaha,Nebraska,-9.399946808360141,Douglas County,0.6497681742629691,0.3367159478610795
Omaha North High Magnet School,Omaha,Nebraska,-11.363425621724511,Douglas County,0.6497681742629691,0.3367159478610795
Creighton Preparatory School,Omaha,Nebraska,-2.7638288659032417,Douglas County,0.6497681742629691,0.3367159478610795
Millard West High School,Omaha,Nebraska,-5.941201796596274,Douglas County,0.6497681742629691,0.3367159478610795
Elkhorn High School,Omaha,Nebraska,-6.905268081162909,Douglas County,0.6497681742629691,0.3367159478610795
Burke High School,Omaha,Nebraska,-9.20781888241882,Douglas County,0.6497681742629691,0.3367159478610795
Elkhorn South High School,Omaha,Nebraska,-4.606758320361751,Douglas County,0.6497681742629691,0.3367159478610795
Omaha Bryan High School,Omaha,Nebraska,-9.854413918859432,Douglas County,0.6497681742629691,0.3367159478610795
Millard South High School,Omaha,Nebraska,-18.533719270561967,Douglas County,0.6497681742629691,0.3367159478610795
Elkhorn North High School,Omaha,Nebraska,-7.201587126658759,Douglas County,0.6497681742629691,0.3367159478610795
