Name,State/Country,City,Link
Anaheim High School,California,Anaheim,https://aenews.org
Gilbert High School,California,Anaheim,https://gladiatortimes.com
Loara High School,California,Anaheim,https://loarasaxonshield.com
Arcadia High School - CA,California,Arcadia,http://arcadiaquill.com
Arcata High School,California,Arcata,https://thepepperbox.com
Arroyo Grande High School,California,Arroyo Grande,https://aghseagletimes.com
Atascadero High School,California,Atascadero,https://greyhoundmediaahs.org
Menlo School,California,Atherton,https://menlocoa.org
Placer High School,California,Auburn,http://hillmenmessenger.com
Ridgeview High School,California,Bakersfield,https://ridgeviewpacknews.net
Bakersfield High School,California,Bakersfield,https://bhsblueandwhite.com
Del Oro High School,California,Bakersfield,https://delorosunburst.org
Bell High School - CA,California,BELL,http://bhsbellchimes.com
Notre Dame High School,California,Belmont,https://thendbcatalyst.com
Carlmont High School,California,Belmont,http://scotscoop.com
Bishop Union High School,California,Bishop,http://broncoroundup.org
Palo Verde High School,California,Blythe,https://pvhsbuzz.com
Brea Olinda High School,California,Brea,https://breaolindawildcat.com
Heritage High School - CA,California,Brentwood,http://heritageledger.com
Buena Park HIgh School,California,Buena Park,https://bphspawprints.com
Burlingame High School,California,Burlingame,https://theburlingameb.org
Burlingame High School,California,Burlingame,https://bhsyearbook.org
Calabasas High School,California,Calabasas,http://chscourier.com
Viewpoint School,California,Calabasas,http://viewpointpatriot.org
Adolfo Camarillo High School,California,Camarillo,http://achsstinger.com
Rancho Campana High School,California,Camarillo,http://rchslionheart.com
Canyon High School,California,Canyon Country,https://chsponyexpress.com
Carlsbad High School,California,Carlsbad,http://thelancerlink.com
Sage Creek High School,California,Carlsbad,http://thesagenews.com
Pacific Ridge School,California,Carlsbad,https://prsegg.com
Jesuit High School,California,Carmichael,http://jhsplank.com
Castaic High School,California,Castaic,https://thedailyhowl.org
Cerritos High School,California,Cerritos,https://cerritosinformer.com
Pleasant Valley High School,California,Chico,https://pvsaga.org
Inspire School of Arts & Sciences,California,Chico,https://inspirechiconews.org
Don Antonio Lugo High School,California,Chino,http://dalquestnews.org
Ruben S. Ayala High School,California,Chino Hills,https://ayalabulldogtimes.org
Bonita Vista High School,California,Chula Vista,https://bonitavistacrusader.org
Claremont High School,California,Claremont,http://thewolfpacket.org
The Webb Schools,California,Claremont,https://webbcanyonchronicle.com
Colton High School,California,Colton,http://pepperbough.com
Santiago High School,California,Corona,http://shssharkattack.com
Culver City High School,California,Culver City,http://cchscentaurian.com
Homestead High School,California,Cupertino,http://hhsepitaph.com
Cupertino High School,California,Cupertino,http://chsprospector.com
Monta Vista High School,California,Cupertino,https://elestoque.org
Cypress High School,California,Cypress,https://cyphype.com
Oxford Academy,California,Cypress,https://oagamut.com
San Ramon Valley High School,California,Danville,http://thewolfprint.com
Monte Vista High School,California,Danville,http://mvstampede.net
Diamond Bar High School,California,Diamond Bar,http://dbbullseye.com
Downey High School,California,Downey,http://thedowneylegend.com
Dublin High School,California,Dublin,http://thedublinshield.com
Eastside College Preparatory School,California,East Palo Alto,https://eastsidepanther.org
Eleanor Roosevelt High School,California,Eastvale,http://therooseveltreview.org
Arroyo High School,California,El Monte,http://knightsbanner.com
San Dieguito Academy,California,Encinitas,http://sdamustang.com/
San Pasqual High School,California,Escondido,https://sphseagleeye.com
Classical Academy High School,California,Escondido,http://crimsonnews.org
De Campo High School,California,Fair Oaks,https://dcroar.com
Armijo High School,California,Fairfield,http://The-Armijo-Signal.com
Irvington High School,California,Fremont,http://ihsvoice.com
Bullard High School,California,Fresno,http://bullardcharger.com
Edison High School - CA,California,Fresno,http://EdisonIlluminator.com
Fresno Christian High School,California,Fresno,https://thefeather.com
Fullerton Union High School,California,Fullerton,http://tribetribune.com
D. Russell Parks Junior High School,California,Fullerton,http://parkspantherpress.com
Rosary High School,California,Fullerton,http://royalreporter.org/
Sunny Hills High School,California,Fullerton,https://shhsaccolade.com
Santiago High School,California,Garden Grove,http://thenewcavalier.com
Glendale High School,California,Glendale,https://ghsexplosion.com
Hoover High School,California,Glendale,http://thetornadotimes.net
Dos Pueblos High School,California,Goleta,https://chargeraccount.org
John F. Kennedy High School,California,Granada Hills,https://jfkword.com
Granite Bay High School,California,Granite Bay,http://granitebaytoday.org
Nevada Union High School,California,Grass Valley,https://nuhsmedia.com
Bear River High School,California,Grass Valley,https://brcurrent.com
Los Altos High School,California,Hacienda Heights,http://the-conqueror.org 
Hawthorne Math and Science Academy,California,Hawthorne,http://AviatorNews.org
Da Vinci Communications High School,California,Hawthorne,http://vitruvianpost.com
Mt. Eden High School,California,Hayward,https://mtedenmonarch.com
Sultana High,California,Hesperia,https://sultanainsider.com
Hughson High School,California,Hughson,https://hughsonpaw.com
Huntington Beach High School,California,Huntington Beach High School,https://hbslick.com
Shadow Hills High School,California,Indio,http://shhsknighttimes.com
Woodbridge High School,California,Irvine,http://whsgoldenarrow.com
Portola High School,California,Irvine,http://portolapilot.com
Northwood High School,California,Irvine,https://thehowleronline.org
University High School,California,Irvine,https://uhsswordandshield.com
Marin Catholic,California,Kentfield,https://mcwildcatwatch.org
Flintridge Preparatory School,California,La Cañada Flintridge,https://theflintridgepress.com
Flintridge Sacred Heart Academy,California,La Canada Flintridge,http://veritasshield.fsha.org
Clark Magnet High School,California,La Crescenta,http://clarkchronicle.com
La Jolla Country Day School,California,La Jolla,http://ljcdspalette.org
The Bishop''s School,California,La Jolla,https://thebishopstower.com
The Preuss School,California,La Jolla,https://preussinsider.com
La Mirada High School,California,La Mirada,https://lamiradaeltoro.com
Bishop Amat High School,California,La Puente,http://thelance.org
Laguna Beach High School,California,Laguna Beach,http://lbhsnews.com
Aliso Niguel High School,California,Laguna Niguel,https://thegrowlingwolverine.org
Kern Valley High School,California,Lake Isabella,https://kvhsnews.com
Quartz Hill High School,California,Lancaster,http://qhhsubiquity.com
Redwood High School,California,Larkspur,https://redwoodbark.org
Tamalpais High School,California,Larkspur,https://thetamnews.org
Granada High School,California,Livermore,https://ghspomegranate.com
Lodi High School,California,Lodi,https://lodihightheflame.com
Lompoc High School,California,Lompoc,https://lompocsmokesignal.com
Rancho Dominguez Preparatory School,California,Long Beach,http://rdpswolfpack.com
Woodrow Wilson High School,California,Long Beach,https://wilsonloudspeaker.org
Millikan High,California,Long Beach,https://millikancorydon.com
Los Alamitos High School,California,Los Alamitos,http://lahsgriffingazette.com
Los Altos High School,California,Los Altos,http://lahstalon.org
Los Altos High School - New Media Lit,California,Los Altos,http://lahsnewmedialit.org
Pinewood School,California,Los Altos Hills,https://theperennial.org
Marymount High School,California,Los Angeles,http://mhsanchor.org
Animo Jefferson Charter M.S.,California,Los Angeles,http://bulldogbugle.com
Venice High School,California,Los Angeles,http://veniceoarsman.com
Manual Arts High School,California,Los Angeles,http://toilertimes.com
Shalhevet High School,California,Los Angeles,http://shalhevetboilingpoint.com
The Archer School for Girls,California,Los Angeles,http://archeroracle.org
Milken Community School,California,Los Angeles,https://milkenroar.com
Harvard-Westlake School,California,Los Angeles,https://hwspectrum.com
Girls Academic Leadership Academy,California,Los Angeles,https://galaecho.com
Augustus Hawkins High School,California,Los Angeles,https://advocatenewshawkins.net
Oscar De La Hoya Animo Charter High School,California,Los Angeles,https://theboxerbulletin.com
Alexander Hamilton Senior High,California,Los Angeles,https://federalistathami.org
Animo Pat Brown Charter High School,California,Los Angeles,http://gryphongazette.com
Marlborough School,California,Los Angeles,https://theultraviolet.com
East Los Angeles Renaissance Academy,California,Los Angeles,https://thevitruvianrenaissance.org
LACES Magnet,California,Los Angeles,https://lacesuntied.com
Los Banos High School,California,Los Banos,http://lbhspawprint.com
Mira Costa High School,California,Manhattan Beach,https://mustangmorningnews.com
Calla High School,California,Manteca,https://chslobolife.net
Alhambra High School,California,Martinez,https://ahsdogwatcher.com
Maywood C.E.S. Magnet,California,Maywood,http://wolfpacktimes.net
Santa Rosa Academy,California,Menifee,https://srapress.org
James C. Enochs High School,California,Modesto,https://enochseagleeye.org
Montclair High School,California,Montclair,https://mhsclarion.net
Campolindo High School,California,Moraga,http://thecampoclaw.com
Mountain View High School,California,Mountain View,https://mvhsoracle.com
Corona del Mar High School,California,Newport Beach,http://cdmtridentonline.com
Sage Hill School,California,Newport Coast,http://lightningboltonline.com
North Hollywood High School,California,North Hollywood,https://nhhsarcade.com
Oakwood School,California,North Hollywood,http://parliament.oakwoodschool.org
Oakwood School,California,North Hollywood,https://thehoot.oakwoodschool.org
Northridge Academy High School,California,Northridge,https://nahspumapress.org
Oak Park High School,California,Oak Park,http://Oakparktalon.org 
Bishop O''Dowd High School,California,Oakland,https://thecrozier.org
Mother of Divine Grace School,California,Ojai,http://modgnews.com
Miramonte High School,California,Orinda,http://mhsmirador.com
Pacifica High School,California,Oxnard,http://tritoncurrents.com
Channel Islands High School,California,Oxnard,http://islefile.org
Oxnard High School,California,Oxnard,http://ohsthebuzz.com
Hueneme High School,California,Oxnard,http://hhsvoyager.org
Rio Mesa High School,California,Oxnard,http://RMHSnews.org
Palisades Charter High School,California,Pacific Palisades,http://tideline.news
Palo Alto High School,California,Palo Alto,http://vikingsportsmag.com
Palo Alto Senior High School - C Magazine,California,Palo Alto,http://cmagazine.org
Henry M. Gunn High School,California,Palo Alto,https://gunnoracle.com
Palo Alto High School,California,Palo Alto,https://palyvoice.com
Palo Alto High School - Verde,California,Palo Alto,https://verdemagazine.com
Castilleja School,California,Palo Alto,https://castillejacounterpoint.com
Palo Alto High School,California,Palo Alto,https://anthromagazine.org
Palo Alto High School,California,Palo Alto,https://inkliterarymag.org
Palo Alto High School,California,Palo Alto,https://palymadrono.com
Palo Alto High School,California,Palo Alto,https://infocusnews.tv
Palo Alto High School,California,Palo Alto,https://thecampanile.org
Palos Verdes High School,California,Palos Verdes Estates,http://pvhspoint.org
Palos Verdes High School - Broadcast,California,Palos Verdes Estates,http://livefrom205.com
St. Philip the Apostle School,California,Pasadena,http://falconsflyer.org
Westridge School,California,Pasadena,https://westridgespyglass.org
Mayfield Senior School,California,Pasadena,https://mayfieldcrier.org
Polytechnic School,California,Pasadena,https://thepawprint.polytechnic.org
EF Academy,California,Pasadena,http://internationalchangemaker.org
Paso Robles High School,California,Paso Robles,https://crimsonnewsmagazine.org
Casa Grande High School,California,Petaluma,http://casarevista.com
El Rancho High School,California,Pico Rivera,https://elrodeonews.com
Piedmont High School,California,Piedmont,https://tphnews.com
Pinole Valley High School,California,Pinole,http://spartanink.org
Amador Valley High School,California,Pleasanton,http://amadorvalleytoday.org
Porterville High School,California,PORTERVILLE,https://oandgnews.org
Poway High School,California,Poway,https://powayiliad.com
Rancho Cucamonga High School,California,Rancho Cucamonga,https://thecatseye.org
Los Osos High School,California,Rancho Cucamonga,https://lohsgrizzlygazette.com
Santa Margarita Catholic H.S.,California,Rancho Santa Margarita,http://smchseagleeye.com
Redondo Union High School,California,Redondo Beach,http://ruhsmedia.com
Sequoia High School,California,Redwood City,http://ravenreport.org
North Star Academy,California,Redwood City,https://nsagryphons.net
Sacred Heart Preparatory,California,Redwood City,https://shpmedia.org
Richmond High School,California,Richmond,https://theoilleak.com
Burroughs High School,California,Ridgecrest,https://bhsblast.org
Ripon High School,California,Ripon,https://smokesignalnews.net
J.W. North High School,California,Riverside,http://tnso.news
La Sierra High School,California,Riverside,https://lshseaglesquillonline.com
Norte Vista High School,California,Riverside,https://nvhspress.com
Rocklin High School,California,Rocklin,http://rocklinhsflash.net
Whitney High School,California,Rocklin,http://whitneyupdate.com
Oakmont High School,California,Roseville,https://norsenotes.com
Roseville High School - CA,California,Roseville,http://eyeofthetigernews.com
Branson School,California,Ross,https://theblazer.news
Rio Americano High School,California,Sacramento,http://riomirada.org
Journalism Education Association of Northern California,California,Sacramento,http://jeanc.org
Alisal High School,California,Salinas,http://alisaltrojantribune.com
Archie Williams High School,California,San Anselmo,http://awhspitch.com
San Domenico,California,San Anselmo,https://sdpantherpress.org
Norton Science & Language Academy,California,San Bernardino,https://nslacosmonaut.org
San Clemente High School,California,San Clemente,http://tritontimes.com
Hoover High School,California,San Diego,http://thehoovercardinal.org
Cathedral Catholic High School,California,San Diego,http://elcidonline.com/
La Jolla High School,California,San Diego,https://ljhitide.net
University City High School - CA,California,San Diego,http://uchscommander.com
Cathedral Catholic High School,California,San Diego,https://elsolartandlit.org
Westview High School,California,San Diego,https://wvnexus.org
Canyon Hills High School,California,San Diego,http://canyonhillschronicle.com
Torrey Pines High School,California,San Diego,https://torreypinesfalconer.com
San Dimas High School,California,San Dimas,https://saintscroll.com
Urban School of San Francisco,California,San Francisco,http://urbanlegendnews.org
Sacred Heart Cathedral Preparatory,California,San Francisco,http://shcpemerald.org
Stuart Hall High School,California,San Francisco,http://roundtable.sacredsf.org
Convent of the Sacred Heart High School,California,San Francisco,http://broadview.sacredsf.org 
Archbishop Riordan High School,California,San Francisco,https://rcrusadernews.com
Lowell High School,California,San Francisco,https://thelowell.org
Mission High School,California,San Francisco,https://missionchronicle.org
Gabrielino High School,California,San Gabriel,https://thetongvatimes.com
San Jacinto High School,California,San Jacinto,https://sjhsnews.com
The Harker Upper School,California,San Jose,http://HarkerAquila.com
Abraham Lincoln High School,California,San Jose,http://lincolnliontales.com
Lynbrook High School,California,San Jose,http://lhsepic.com
University Preparatory Academy,California,San Jose,https://upaaquila.org
Archbishop Mitty High School,California,San Jose,https://amhsnews.org
Willow Glen High School,California,San Jose,https://therampages.org
BASIS Independent Silicon Valley,California,San Jose,https://bisvquill.com
Evergreen Valley High School,California,San Jose,https://evhscougarchronicles.com
San Juan Hills High School,California,San Juan Capistrano,http://sjhexpress.com
San Leandro High School,California,San Leandro,https://slhscargo.org
KIPP King Collegiate High School,California,San Lorenzo,https://thekingchronicle.com
San Luis Obispo High School,California,San Luis Obispo,https://slohsexpressions.com
Mission Hills High School,California,San Marcos,https://mhhsnews.com
San Marcos High School,California,San Marcos,https://smhsknightsnews.com
San Marino High School,California,San Marino,https://smtitanshield.org
Terra Linda High School,California,San Rafael,http://thevoice.srcs.org
San Rafael High School,California,San Rafael,https://srhsoffleash.org
Marin Academy,California,San Rafael,https://the1600.org
Dougherty Valley High School,California,San Ramon,http://thewildcattribune.com
California High School,California,San Ramon,http://thecalifornianpaper.com
Sanger High School,California,Sanger,https://sangerhilights.com
Santa Ana High School,California,Santa Ana,http://sahsnews.com
Middle College High School,California,Santa Ana,http://thespellbinder.net
Mater Dei High School,California,Santa Ana,http://thescarletscroll.com
Segerstrom High School,California,Santa Ana,http://segerstromnews.com
Laguna Blanca School,California,Santa Barbara,http://thefourthestate.net
San Marcos High School,California,Santa Barbara,https://thekingspage.com
Adrian Wilcox High School,California,Santa Calra,http://scribewilcox.com
Santa Clara High School,California,Santa Clara,http://scroar.net/
Hart High School,California,Santa Clarita,https://hartsmokesignal.com
Golden Valley High School,California,Santa Clarita,https://thegrizzlygazette.org
Pacific Collegiate School,California,Santa Cruz,http://pcsroar.com
Pioneer Valley High School,California,Santa Maria,https://pvhspanthertales.org
Ernest Righetti High School,California,Santa Maria,https://rhslegend.com
Santa Maria High School,California,Santa Maria,https://smhsbreeze.com
Saugus High School,California,Saugus,https://saugusscroll.org
Selma High School,California,Selma,https://shsclarion.net
Notre Dame High School,California,Sherman Oaks,https://ndhsmedia.com
Royal High School,California,Simi Valley,http://plaidtruth.com
Simi Valley High School,California,Simi Valley,http://svhsnow.com
Sonoma Valley High School,California,Sonoma,https://sonomadragonstale.com/
Everyday Heroes / Watts All-Stars,California,South Central Los Angeles,https://wattsstar.org
South El Monte High School,California,South El Monte,https://semhseaglesnest.com
Stanford Online High School,California,Stanford,https://ohsobserver.com
West Ranch High School,California,Stevenson Ranch,http://wrpawprint.com
Cesar Chavez High School,California,Stockton,http://cchsoracle.com
A.A. Stagg High,California,Stockton,http://staggonline.net
Weston Ranch High School,California,Stockton,http://cougarprowl.net
Lincoln High School,California,Stockton,https://lincolnian.net
Aspire Langston Hughes Academy,California,Stockton,https://lhatitantimes.org
Franklin High School,California,Stockton,https://fhsbuzz.com
Franklin High School,California,Stockton,https://franklinswarm.com
Harvard-Westlake School,California,Studio City,https://hwchronicle.com
Fremont High School,California,Sunnyvale,https://fhsphoenix.org
Taft Union High School,California,Taft,http://gusher.news
Westlake High School,California,Thousand Oaks,https://westlakearrow.net
Thousand Oaks High School,California,Thousand Oaks,http://tohsthelancer.org
West High School,California,Torrance,http://whssignals.com
Torrance High School,California,Torrance,https://torrancenewstorch.org
Merrill F. West High School,California,Tracy,http://whszephyr.com
Tracy High School,California,Tracy,http://tracyhighscholarandathlete.com
Truckee High School,California,Truckee,https://truckeetimes.org
Summerville High School,California,Tuolumne,https://beyondthecave.net
John H. Pitman High School,California,Turlock,http://pitmanroaringtimes.com
Turlock High School,California,Turlock,https://thsclarion.com
Mare Island Technology Academy,California,Vallejo,https://mitanews.org
Birmingham Community Charter High School,California,Van Nuys,http://bcchspatriotpost.com
Daniel Pearl High School,California,Van Nuys,http://pearlnet.news
Daniel Pearl Magnet High School,California,Van Nuys,http://thepearlpost.com/
Van Nuys High School,California,Van Nuys,https://vnhsmirror.com
Foothill Technology High School,California,Ventura,https://foothilldragonpress.org
Buena High School,California,Ventura,https://buenaspeaks.org
Ventura High School,California,Ventura,https://thecougarpress.org
Walnut High School,California,Walnut,https://whshoofprint.com
Northgate High School,California,Walnut Creek,http://northgatesentinel.com 
West Covina High School,California,West Covina,http://wchsinsight.org
Mt. SAC Early College Academy,California,West Covina,https://mtsacecachronicle.com
South Hills High,California,West Covina,https://shgrowl.com
de Toledo High School,California,West Hills,http://prowler.dths.org
California High School,California,Whittier,https://condorinsider.org
Whittier High School,California,Whittier,https://whscardinalandwhite.com
Elsinore High School,California,Wildomar,https://ehstigertimes.com
Lagunitas Community School,California,Woodacre,https://lcsnews.org
Taft Charter High School,California,Woodland Hills,https://tafttribune.org
El Camino Real Charter High School,California,Woodland Hills,https://theroyalcourier.net
Woodside High School,California,Woodside,http://woodsidepawprint.com
Yorba Linda High School,California,Yorba Linda,http://ylhsthewrangler.com
St. George's School,Canada,Vancouver,http://sgsecho.com
Doherty High School,Colorado,Colorado Springs,https://thespartan.org
Ralston Valley High School,Colorado,Arvada,http://rvhsreview.org
Arvada West High School,Colorado,Arvada,http://awestnews.com
Arvada High School,Colorado,Arvada,https://ahsargos.net
Aspen High School,Colorado,Aspen,http://skierscribbler.com
Smoky Hill High School,Colorado,Aurora,http://smokynow.com
Regis Jesuit High School,Colorado,Aurora,http://rjmedianow.com
Cherokee Trail High School,Colorado,Aurora,http://cthstoday.org
Rangeview High School,Colorado,Aurora,https://rangeviewnews.org
Grandview High School,Colorado,Aurora,https://ghschronicle.com
Overland High School,Colorado,Aurora,https://ohsscout.com
Fairview High School,Colorado,Boulder,https://fhsroyalbanner.com
Boulder High School,Colorado,Boulder,https://bhsowl.org
Broomfield High School,Colorado,Broomfield,http://onlyoneagleway.com
Holy Family,Colorado,Broomfield,https://hflamppost.com
Legacy High School - CO,Colorado,Broomfield,http://lightningletter.com
Castle View High School,Colorado,Castle Rock,http://cvstudentmedia.com
Arapahoe High School,Colorado,Centennial,http://arapahoextra.com
Eaglecrest High School,Colorado,Centennial,http://ehsnestnetwork.com
Coronado High School,Colorado,Colorado Springs,http://cougardaily.org
Cheyenne Mountain High School,Colorado,Colorado Springs,http://themountainnews.org
Early College High School and Career Pathways,Colorado,Colorado Springs,http://phoenixflash.org
Palmer High School,Colorado,Colorado Springs,https://phslever.com
Pine Creek High School,Colorado,Colorado Springs,https://pinecreektalonmedia.net
Harrison High School,Colorado,Colorado Springs,https://pantherpresshhs.com
Conifer High School,Colorado,Conifer,http://chstoday.net
Delta High School,Colorado,Delta,https://deltapawprint.com
Montview High School,Colorado,Denver,https://mtvnews.org
McAuliffe International School,Colorado,Denver,http://sundevilscoop.org
George Washington High School,Colorado,Denver,https://thepatriotglow.org
Durango High School - CO,Colorado,Durango,http://eldiablonews.com
Eaton High School,Colorado,Eaton,https://eatonredink.com
Englewood High School,Colorado,Englewood,http://thepirateer.com
Erie High School,Colorado,Erie,https://erietigertimes.com
Rocky Mountain High School,Colorado,Fort Collins,http://rmhshighlighter.com
Fossil Ridge High School,Colorado,Fort Collins,https://etchedinstone.org
Fort Collins High School,Colorado,Fort Collins,https://spilledink.org
Timnath High School,Colorado,Fort Collins,https://timnathcubreporter.com
Frederick High School,Colorado,Frederick,http://fredericklantern.com
Fruita Monument High School,Colorado,Fruita,https://fruitanews.org
Grand Junction High School,Colorado,Grand Junction,http://oandbnews.com
Greeley West High School,Colorado,Greeley,http://gwwestword.com
Cherry Creek High School,Colorado,Greenwood Village,http://unionstreetjournal.com
Gunnison High School,Colorado,Gunnison,https://gunnisongiddyup.com
Eagle Valley High School,Colorado,Gypsum,http://eaglevalleystudentmedia.org
Rock Canyon High School,Colorado,Highlands Ranch,http://rockmediaonline.org/
Mountain Vista High School,Colorado,Highlands Ranch,https://vistanow.org
Highlands Ranch High School,Colorado,Highlands Ranch,https://hrhsnews.org
Valor Christian High School,Colorado,Highlands Ranch,http://valoreagleeye.com
Centaurus High School,Colorado,Lafayette,http://chswarriorscroll.com
Dakota Ridge High School,Colorado,Littleton,https://drhscordnews.com
Chatfield Senior High School,Colorado,Littleton,https://chattymatters.com
Mead High School,Colorado,Longmont,http://mavnewspaper.com
Silver Creek High School,Colorado,Longmont,https://schsnews.org
Monarch High School,Colorado,Louisville,https://mohimix.com
Mountain View High School,Colorado,Loveland,https://lionpridetimes.com
Manitou Springs High School,Colorado,Manitou Springs,http://mshsprospector.org
Palisade High School,Colorado,Palisade,https://palisadepawpost.com
Lutheran High School,Colorado,Parker,https://luhiroar.org
Salida High School,Colorado,Salida,https://tenderfoottimes.com
Horizon High School,Colorado,Thornton,https://theprofilehhs.com
Air Academy High School,Colorado,USAFA,http://thejetstreamjournal.com
Wheat Ridge High School,Colorado,Wheat Ridge,http://wrhaystack.com
Windsor High School,Colorado,Windsor,https://windsorchronicle.com
Lewis S. Mills High School,Connecticut,Burlington,http://LSMSpartanScroll.org
Canton High School,Connecticut,Canton,http://cantonjournal.org
The Morgan School,Connecticut,Clinton,https://morganpawprint.com
Danbury High School,Connecticut,Danbury,http://hattersherald.com
ACE - Alternative Center for Excellence,Connecticut,Danbury,https://acealternativetimes.com
Darien High School,Connecticut,Darien,https://neirad.org
Coginchaug Regional High School,Connecticut,Durham,http://crhsnews.com
East Haven High School,Connecticut,East Haven,https://ehhscomet.org
East Lyme High School,Connecticut,East Lyme,http://vikingsaga.org
Fairfield Ludlowe High School,Connecticut,Fairfield,https://flhsprospect.com
Farmington High School - CT,Connecticut,Farmington,http://fhsvoice.org
The Stanwich School,Connecticut,Greenwich,http://stanwichpost.org
Convent of the Sacred Heart,Connecticut,Greenwich,https://shgreenwichkingstreetchronicle.org
Greenwich Country Day School,Connecticut,Greenwich,https://chronicle.gcds.net
Greenwich Academy,Connecticut,Greenwich,https://greenwichacademypress.com
Fitch Senior High School,Connecticut,Groton,http://fitchfalconpress.com
Guilford High School,Connecticut,Guilford,https://ghsgazette.org
Sacred Heart Academy,Connecticut,Hamden,http://shalethea.com
University High School - CT,Connecticut,Hartford,http://uhssetimes.com
Greater Hartford Academy of the Arts Full Day,Connecticut,Hartford,https://ohmyghaa.org
Kent School,Connecticut,Kent,http://kentnews.org/
The Hotchkiss School,Connecticut,Lakeville,http://hotchkissrecord.org
Manchester High School,Connecticut,Manchester,https://mhsnest.com
Manchester High School - CT,Connecticut,Manchester,http://mhsnest.com
Xavier High School,Connecticut,Middletown,http://xkestrel.com
Foran High School,Connecticut,Milford,https://manestreetmirror.com
Naugatuck High School,Connecticut,Naugatuck,http://thegreyhoundnews.com
St. Luke''s School,Connecticut,New Canaan,https://digitalsentinel.org
